id,eps,oliva_greedy,oliva_greedy_time,oliva_greedy_visit,oliva_greedy_status,oliva_greedy_lb,oliva_balance,oliva_balance_time,oliva_balance_visit,oliva_balance_status,oliva_balance_lb,neuralsat,neuralsat_time,neuralsat_status,bab_baseline,bab_baseline_time,bab_baseline_visit,bab_baseline_status,abcrown,abcrown_status,abcrown_time
14,0.0392156862745098,DFS:,746.9703316688538,81,Status.VERIFIED,-3.6269259452819824,Balance,774.898281791476,247,Status.VERIFIED,-3.6269259452819824,neuralsat,957.697028,Status.VERIFIED,BaB-Baseline:,1004.1027228832244,165,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2711
14,0.0431372549019607,DFS:,44.25361132621765,10,Status.ADV_EXAMPLE,-5.713275909423828,Balance,42.00372205715399,34,Status.ADV_EXAMPLE,-5.713275909423828,neuralsat,933.978809,Status.ADV_EXAMPLE,BaB-Baseline:,106.2527039051056,16,Status.ADV_EXAMPLE,abcrown:,Status.UNKNOWN,1000.2796
16,0.0313725490196078,DFS:,19.51825785636902,9,Status.VERIFIED,-0.0763662457466125,Balance,20.95497853467176,299,Status.VERIFIED,-0.0763662457466125,neuralsat,91.798037,Status.VERIFIED,BaB-Baseline:,437.70585083961487,313,Status.VERIFIED,abcrown:,Status.VERIFIED,0.1841
16,0.0352941176470588,DFS:,67.49874329566956,23,Status.VERIFIED,-0.9010531306266784,Balance,61.41147312874439,699,Status.VERIFIED,-0.9010531306266784,neuralsat,498.885772,Status.VERIFIED,BaB-Baseline:,1002.9058163166046,489,Status.UNKNOWN,abcrown:,Status.VERIFIED,17.0665
16,0.0392156862745098,DFS:,210.7090973854065,35,Status.VERIFIED,-2.3812530040740967,Balance,210.57990254235185,365,Status.VERIFIED,-2.3812530040740967,neuralsat,1000.044169,Status.UNKNOWN,BaB-Baseline:,1001.9682087898254,242,Status.UNKNOWN,abcrown:,Status.VERIFIED,217.519
16,0.0431372549019607,DFS:,349.1898899078369,43,Status.VERIFIED,-3.990830659866333,Balance,374.21191045471073,265,Status.VERIFIED,-3.990830659866333,neuralsat,1000.2347102165222,Status.UNKNOWN,BaB-Baseline:,1004.6915593147278,169,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2793
16,0.0470588235294117,DFS:,1007.9237654209136,251,Status.UNKNOWN,-5.770634651184082,Balance,517.8158307992069,241,Status.UNKNOWN,-5.770634651184082,neuralsat,1000.1493334770204,Status.UNKNOWN,BaB-Baseline:,1006.1892127990724,155,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.281
16,0.0509803921568627,DFS:,1003.1392774581908,229,Status.UNKNOWN,-7.699294090270996,Balance,898.5186873937995,219,Status.UNKNOWN,-7.699294090270996,neuralsat,1000.2485265731812,Status.UNKNOWN,BaB-Baseline:,1008.3549966812134,140,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2762
16,0.0549019607843137,DFS:,1007.6117260456084,211,Status.UNKNOWN,-9.695552825927734,Balance,694.5970894158175,205,Status.UNKNOWN,-9.695552825927734,neuralsat,1000.2776293754578,Status.UNKNOWN,BaB-Baseline:,1005.075567483902,130,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.1536
16,0.0588235294117647,DFS:,1010.4821910858154,183,Status.UNKNOWN,-11.751818656921388,Balance,834.6155387180808,175,Status.UNKNOWN,-11.751818656921388,neuralsat,1000.1700546741486,Status.UNKNOWN,BaB-Baseline:,1004.111451625824,114,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.3015
16,0.0627450980392156,DFS:,683.6361348628998,49,Status.VERIFIED,-13.972827911376951,Balance,667.8115460096997,155,Status.VERIFIED,-13.972827911376951,neuralsat,1000.1720237731934,Status.UNKNOWN,BaB-Baseline:,1004.2723569869996,101,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2297
18,0.0274509803921568,DFS:,22.374149799346924,9,Status.VERIFIED,-0.655846118927002,Balance,18.66962413561964,881,Status.VERIFIED,-0.655846118927002,neuralsat,1000.2553851604462,Status.UNKNOWN,BaB-Baseline:,1003.2995746135712,618,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2785
18,0.0313725490196078,DFS:,59.97677826881409,23,Status.VERIFIED,-1.504948377609253,Balance,59.60961227461335,795,Status.VERIFIED,-1.504948377609253,neuralsat,1000.166449546814,Status.UNKNOWN,BaB-Baseline:,1001.7900326251984,562,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.1538
18,0.0352941176470588,DFS:,75.50483679771423,27,Status.VERIFIED,-2.5159454345703125,Balance,71.33850899146772,735,Status.VERIFIED,-2.5159454345703125,neuralsat,1000.283102273941,Status.UNKNOWN,BaB-Baseline:,1003.4706959724426,517,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2917
18,0.0392156862745098,DFS:,374.82763147354126,87,Status.VERIFIED,-3.630765199661255,Balance,318.5826934782808,475,Status.VERIFIED,-3.630765199661255,neuralsat,1000.3426730632782,Status.UNKNOWN,BaB-Baseline:,1003.683704853058,341,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.3133
19,0.0117647058823529,DFS:,16.761133670806885,13,Status.VERIFIED,-0.1541250944137573,Balance,17.788388758392966,1201,Status.VERIFIED,-0.1541250944137573,neuralsat,2.525336503982544,Status.VERIFIED,BaB-Baseline:,1002.2154490947725,1248,Status.UNKNOWN,abcrown:,Status.VERIFIED,0.1708
20,0.0156862745098039,DFS:,12.3773775100708,7,Status.VERIFIED,-0.3964800536632538,Balance,13.339247711526887,1237,Status.VERIFIED,-0.3964800536632538,neuralsat,1000.2560980319976,Status.UNKNOWN,BaB-Baseline:,1002.2220447063446,915,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.1736
21,0.0274509803921568,DFS:,5.236682415008545,7,Status.VERIFIED,-0.0444351844489574,Balance,5.071479126433759,7,Status.VERIFIED,-0.0444351844489574,neuralsat,6.533868074417114,Status.VERIFIED,BaB-Baseline:,7.330611944198608,7,Status.VERIFIED,abcrown:,Status.VERIFIED,20.1344
21,0.0313725490196078,DFS:,14.65412735939026,11,Status.VERIFIED,-0.406702846288681,Balance,15.744249446905153,1243,Status.VERIFIED,-0.406702846288681,neuralsat,1000.2668220996856,Status.UNKNOWN,BaB-Baseline:,1002.9422481060028,1155,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2227
